"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL114162";"";"None";"316.36";"0";"3.08";"28";"CS(=O)(=O)c1ccc(-c2cncn2-c2ccc(F)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL762914";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"143982";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL117295";"";"None";"397.28";"0";"4.26";"10ac";"COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"20.38";"0.44";"3.84";"13.23";"0";"CHEMBL762914";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"143982";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL145358";"";"None";"254.35";"0";"2.87";"62";"CC(=O)Oc1ccccc1SCCCCCO";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL760085";"Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131194";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL278040";"";"None";"336.53";"1";"5.66";"15c";"CCCSc1nnc(-c2cc(C(C)C)c(O)c(C(C)C)c2)s1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL655563";"Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132622";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL117650";"";"None";"350.80";"0";"3.74";"10c";"CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2F)cc1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"21.53";"0.45";"3.81";"14.54";"0";"CHEMBL762914";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"143982";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL279753";"";"None";"347.48";"0";"4.46";"24a";"CC(=O)Nc1nc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)ns1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL655563";"Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132622";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL144218";"";"None";"252.38";"0";"4.28";"45";"CCCCCCSc1ccccc1OC(C)=O";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"21.62";"0.44";"1.18";"20.74";"0";"CHEMBL760085";"Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131194";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL55188";"";"None";"342.85";"1";"5.08";"Sl no.34";"CS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(Cl)cc2)cc1";"IC50";"'='";"141.25";"nM";"6.85";"";"";"UO_0000065";"19.98";"0.41";"1.77";"20.06";"1";"CHEMBL827656";"Binding affinity for Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138688";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL358783";"";"None";"298.40";"0";"3.36";"81";"CCCCCCCS(=O)(=O)c1ccccc1OC(C)=O";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL760085";"Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131194";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL119720";"";"None";"311.43";"0";"4.22";"58";"Cn1cccc1C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2";"IC50";"'='";"45.0";"nM";"7.35";"";"";"UO_0000065";"23.59";"0.44";"3.13";"23.52";"0";"CHEMBL768957";"Inhibitory activity against prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131087";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL17218";"";"None";"352.53";"0";"4.41";"28b";"CCSc1nnc(-c2nc(C(C)(C)C)c(O)c(C(C)(C)C)n2)s1";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"16.17";"0.34";"1.29";"7.94";"0";"CHEMBL655563";"Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132622";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL16659";"";"None";"322.50";"0";"4.79";"5";"CC(C)(C)c1cc(-c2nnc(S)s2)cc(C(C)(C)C)c1O";"IC50";"'='";"5500.0";"nM";"5.26";"";"";"UO_0000065";"16.31";"0.34";"0.47";"11.43";"0";"CHEMBL655563";"Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132622";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL279752";"";"None";"443.95";"1";"6.34";"30";"CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2cccc(F)c2)cc1";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"17.56";"0.37";"1.46";"16.58";"0";"CHEMBL665714";"Inhibition of human cyclooxygenase-2 (hCOX-2) enzyme.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL30";"CIMETIDINE";"4.0";"252.35";"0";"0.60";"CIMETIDINE";"CN/C(=N\CCSCc1nc[nH]c1C)NC#N";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL415";"CLOMIPRAMINE";"4.0";"314.86";"0";"4.53";"CLOMIPRAMINE";"CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL6466";"COUMARIN";"4.0";"146.14";"0";"1.79";"COUMARIN";"O=c1ccc2ccccc2o1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL110514";"";"None";"359.40";"0";"2.61";"3i";"CC1(C)OC(=O)C(Oc2cccnc2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"520.0";"nM";"6.28";"";"";"UO_0000065";"17.48";"0.34";"3.67";"7.61";"0";"CHEMBL884351";"Inhibitory potency against PGE-2 production in the human whole blood (HWB COX-2) assay";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131878";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL563";"FLURBIPROFEN";"4.0";"244.26";"0";"3.68";"1";"CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"32.75";"0.61";"4.32";"21.45";"0";"CHEMBL763084";"In vitro inhibitory activity against Prostaglandin G/H synthase 2 (COX-2) in human";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131913";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL110401";"";"None";"394.39";"0";"3.49";"5c";"CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"18.31";"0.37";"3.73";"10.37";"0";"CHEMBL665720";"In vitro inhibitory potency against human COX-2 (HWB COX-2) by whole blood assay";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132677";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL322276";"";"None";"397.45";"0";"3.70";"3b";"CC1(C)OC(=O)C(Oc2ccc3[nH]ccc3c2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"18.93";"0.37";"3.82";"8.80";"0";"CHEMBL664079";"Inhibition of PGE-2 production in CHO cells expressing human COX-2.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131878";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"CHEMBL3308072";"";"";""
"CHEMBL110824";"";"None";"428.29";"0";"3.92";"3n";"CC1(C)OC(=O)C(Oc2ncc(Cl)cc2Cl)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"17.27";"0.37";"3.48";"8.96";"0";"CHEMBL664079";"Inhibition of PGE-2 production in CHO cells expressing human COX-2.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131878";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"CHEMBL3308072";"";"";""
"CHEMBL488025";"EXISULIND";"3.0";"372.42";"0";"4.03";"SULINDAC SULFONE";"CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL325787";"";"None";"266.34";"0";"4.27";"12";"C=CCc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"25.62";"0.47";"2.55";"18.29";"0";"CHEMBL763084";"In vitro inhibitory activity against Prostaglandin G/H synthase 2 (COX-2) in human";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131913";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL104147";"";"None";"314.38";"0";"4.34";"8";"CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2)c1";"IC50";"'='";"320.0";"nM";"6.50";"";"";"UO_0000065";"20.66";"0.39";"2.15";"11.65";"0";"CHEMBL763084";"In vitro inhibitory activity against Prostaglandin G/H synthase 2 (COX-2) in human";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131913";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL134342";"THIOCTIC ACID";"None";"206.33";"0";"2.79";"THIOCTIC ACID";"O=C(O)CCCC[C@@H]1CCSS1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL17043";"";"None";"461.94";"1";"6.48";"32";"CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccc(F)cc2F)cc1";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"16.62";"0.35";"1.20";"16.33";"0";"CHEMBL665714";"Inhibition of human cyclooxygenase-2 (hCOX-2) enzyme.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL324876";"";"None";"376.41";"0";"3.35";"5e";"CC1(C)OC(=O)C(Oc2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"19.40";"0.38";"3.95";"10.48";"0";"CHEMBL665720";"In vitro inhibitory potency against human COX-2 (HWB COX-2) by whole blood assay";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132677";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL274271";"";"None";"365.57";"0";"4.56";"6i";"CC(C)(C)c1cc(-c2nnc(SCCN)s2)cc(C(C)(C)C)c1O";"IC50";"'='";"41000.0";"nM";"4.39";"";"";"UO_0000065";"12.00";"0.25";"-0.17";"6.09";"0";"CHEMBL655563";"Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132622";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL17179";"";"None";"431.99";"1";"6.26";"34";"CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccsc2)cc1";"IC50";"'='";"79.0";"nM";"7.10";"";"";"UO_0000065";"16.44";"0.36";"0.84";"15.10";"0";"CHEMBL665714";"Inhibition of human cyclooxygenase-2 (hCOX-2) enzyme.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL320111";"";"None";"373.43";"0";"2.92";"3o";"Cc1ccc(OC2=C(c3ccc(S(C)(=O)=O)cc3)C(C)(C)OC2=O)nc1";"IC50";"'='";"380.0";"nM";"6.42";"";"";"UO_0000065";"17.19";"0.34";"3.50";"7.78";"0";"CHEMBL884351";"Inhibitory potency against PGE-2 production in the human whole blood (HWB COX-2) assay";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131878";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
